sectionCenters,x,y,z
0,875.6439,1172.0051,20.2703
1,880.7705596910596,1164.5522634714034,25.18855321618682
2,882.9597428418543,1157.180154490046,30.107229180531398
3,886.6332,1151.1157,33.2237
4,879.0722531430032,1181.8186788100595,20.234565216082935
5,882.3679835261296,1191.5418502327425,18.382897918612993
6,886.4822,1200.342,18.8658
7,886.139,1157.6937,15.6058
8,883.0696,1182.61,9.3122
9,865.8764,1162.8074,19.1761
10,891.8227027624141,1146.8928687087168,35.445998462309284
11,898.5360390756891,1144.7277101484829,36.18073596748587
12,904.1743021640692,1147.5233872372119,38.1988481454019
13,905.8641799859406,1143.932167314476,43.39296658079883
14,908.429136008007,1138.63420646595,47.238528856911636
15,912.6356391036666,1133.9133937179065,50.06382815931038
16,917.5091402730275,1129.8815354183862,53.12320929252405
17,921.1374586237072,1124.2441116796842,55.02326143072561
18,924.7692152351835,1118.2752473877536,56.50836286723783
19,928.661112723714,1112.978023840009,59.13476225701412
20,932.6085997852445,1108.952345773327,62.909488644066386
21,935.9375863332419,1103.9298625407328,66.88091159363698
22,938.8568,1104.4382,71.96
23,889.2477623439796,1152.1666350953863,39.3897730538721
24,894.4358015210934,1153.5813012558676,42.30971502001256
25,898.5586008020528,1157.7509150090432,44.929405061991
26,898.3609928407571,1158.8717090344812,49.39413094954597
27,904.4128533684826,1159.8963220592623,52.90728093614659
28,910.1820642223543,1160.5514758341353,57.044622607291046
29,914.0017623456544,1160.7899846199837,63.148261368255554
30,916.5563015476921,1160.7544048483603,69.6248618042887
31,919.7188274265139,1165.9590759290902,73.42279427322129
32,916.1254649543116,1168.573596974708,76.52516663616534
33,912.292,1169.2481,82.32
34,889.134,1203.7626,19.145
35,887.6914,1208.0754,23.1916
36,895.9939997785432,1205.5929802013668,19.04569838922197
37,903.0397865757891,1205.195698040596,18.441865135727653
38,909.8697253399014,1205.4912696986669,18.222075777707513
39,916.7703705995808,1205.331740171733,19.39071117669159
40,923.5891615663434,1204.3698927857006,20.11076312620729
41,930.5574502393653,1204.5828625575093,19.30769271665635
42,937.3311464212182,1204.7702740695713,19.199230828409373
43,944.4013852423202,1204.8850729153685,19.593315683084313
44,951.1095490300034,1202.9559797705915,20.34229103431452
45,958.1104516377669,1202.1654408256009,20.800741761047703
46,964.9617555330971,1201.617361583539,22.54439484777513
47,971.8042466625138,1201.6210111762523,24.039913486209798
48,978.7350626520839,1201.5914544656985,24.927265108382052
49,985.6555789559076,1202.1702364852183,25.83265134368832
50,992.5195923112843,1203.8788153376474,26.142418372429756
51,999.3002832828578,1204.885022866728,27.661955968189293
52,1005.9031435804716,1206.4922064586128,28.15514010633082
53,1012.7806508727084,1207.1093006428773,28.25475323761443
54,1019.5216358081451,1206.1132012396797,28.97428780704903
55,1026.4469692612888,1206.3811749368292,29.285285830373674
56,1033.4808487788537,1207.1037598234223,29.329896737913522
57,1040.4201588402414,1208.6056733021255,29.605596380109297
58,1047.3317168302337,1209.9982492856261,30.54585597331562
59,1054.2247506927768,1211.0648772602417,31.650006629914746
60,1060.6682418875512,1211.042326601115,33.783704511265334
61,1067.0342318087353,1213.635814363836,35.46140614733997
62,1073.3809758849352,1215.7223556234048,37.78361949217816
63,1080.2277,1216.6554,38.0338
64,889.2838,1212.457,19.1562
65,1085.0826841659994,1220.5938587628254,32.36394695182787
66,1093.155416397066,1221.0040858671132,29.87684953228208
67,1101.8838148484433,1221.5834888841823,29.42918900628567
68,1108.0624,1226.6082,29.4946
69,1090.4358325879869,1214.2471097002126,36.810375265130865
70,1100.3061244081257,1209.4280990985235,36.03165744667571
71,1107.559,1201.486,36.0363
72,891.5226,1214.8022,19.1772
73,887.4181294857051,1219.4042753424194,18.277113662971637
74,885.1700646034185,1226.3115262191004,17.421736181726185
75,882.879772331642,1233.176816204794,16.71398432015137
76,882.8993843152732,1240.3462331784965,16.802949210205767
77,884.250322646064,1247.4556123128923,16.773387001529706
78,883.3761758981809,1254.4045703514225,16.351808439275956
79,881.2609151923645,1261.2874860997501,16.145101045555073
80,878.4721941958188,1267.8547271717887,15.098852811093106
81,876.4953558797577,1274.564449286915,14.570292274753227
82,875.7796077661762,1281.7236565312292,13.72134008769216
83,876.2096358384811,1288.5629037542365,12.018277503025052
84,880.1001018439084,1294.874049674498,11.35291251224145
85,882.4582692779068,1300.87005742099,9.72228576158842
86,876.8154,1303.8054,7.2932
87,890.8203857456406,1221.5173179765316,17.31970604441816
88,888.1109538772805,1227.6545361611275,15.296834186079447
89,887.1983947761862,1234.5311198908091,13.827299910152066
90,885.3328033649901,1241.3194574240047,12.870858499342203
91,881.0466318982324,1246.326210140495,12.192013019382719
92,878.0855396716611,1252.7737655120707,11.082394875972355
93,876.6349297101383,1259.7629201368034,10.231660975560642
94,873.8247894794907,1265.6736484205119,8.114648980800586
95,876.5018020724236,1272.1331967682565,6.288815205696095
96,878.7596341599902,1278.7701497641206,4.632453026511938
97,883.311,1284.3688,3.927
98,895.2361,1226.654,20.2205
99,899.0588754369501,1232.6228912748472,20.249518644227255
100,901.613084371668,1239.2995510062076,19.752844669348544
101,904.2283917497534,1245.7815805724395,19.998698374214477
102,906.5912592812157,1252.5429200760527,20.349604431367784
103,908.5991594649424,1259.2711110801545,21.089134625030113
104,911.0853260761518,1265.923500504145,21.434513097913495
105,912.5571788837358,1272.9272359172978,21.476838954926308
106,915.8689447002902,1279.2174983144243,22.165052488198537
107,919.7007385861618,1285.152751343821,22.28733806546707
108,921.6415872217863,1291.8117118327482,23.247023549511717
109,923.6499639479144,1298.1884004079254,25.192957625807168
110,925.8397924944934,1304.3091827713358,26.70038752623397
111,928.4892039391061,1310.4086197576103,28.13155166269665
112,932.7086249830359,1315.9329065039803,28.590077644780983
113,934.4236594304855,1322.6201184037882,30.008903780388003
114,938.9712,1327.5205,30.7938
115,899.066173330069,1231.6234995795717,23.305555955670112
116,903.1516471084228,1236.6704050796227,25.87186234528989
117,902.5468366324997,1242.7508848556113,27.736449141364915
118,906.0625748282862,1246.5274525492455,30.849471240939774
119,908.226937258459,1251.8545435639414,33.610136715811194
120,910.5334233273561,1256.9582292295065,36.452104232608406
121,917.0876127890468,1258.3283316831673,38.26702092176064
122,921.1529153826443,1261.6630893833078,40.86869865701889
123,926.2731631292695,1264.6282315936617,42.89484987014404
124,932.3856523036363,1267.8940799012526,44.22205140608832
125,939.048757723612,1268.5856167582162,46.05952487903206
126,943.8192981962831,1272.105495464133,48.80543018347066
127,949.3284121113286,1274.0514988527586,51.102913222622036
128,956.0419375000046,1275.3940227473759,52.83880763092911
129,961.5531203756647,1279.0243598896222,55.024654989882706
