sectionList,sectionLength
0,14.1855
1,10.296437568812411
2,9.128739614150131
3,7.744952299605885
4,10.395249458727223
5,10.432189274244458
6,9.72638717819926
7,18.349955155803542
8,16.96127589864619
9,13.46101835597901
10,7.049954148171943
11,7.092012073283903
12,6.60897857470325
13,6.536926946757063
14,7.031055238519341
15,6.925536617766015
16,7.0261445981019115
17,6.9681732607221925
18,7.143005200699362
19,7.078518003835758
20,6.7850790190405155
21,7.216625908470905
22,5.880251222892834
23,6.779443762651786
24,6.119076068697502
25,6.4222993295073785
26,4.607494482343797
27,7.072274777321968
28,7.129559344654418
29,7.204261677536256
30,6.962276184045066
31,7.177357593946138
32,5.4196575937017535
33,6.980723572931
34,4.337107358597359
35,8.943164196189045
36,7.100686548008645
37,7.082764947782543
38,6.839863557738366
39,7.000718774930094
40,6.92383820235721
41,7.017643852245988
42,6.777156263515336
43,7.0821436468838765
44,7.020101554846679
45,7.060295051609274
46,7.090915456314461
47,7.004018430414048
48,6.9874513795654245
49,7.003446206882054
50,7.080245521862487
51,7.021340196036837
52,6.813518459793229
53,6.905855092814208
54,6.852066981389381
55,6.937490404325411
56,7.071038121734503
57,7.105334511357915
58,7.112874933630339
59,7.061923232297657
60,6.7876176938777695
61,7.075781881296846
62,7.073011354126762
63,6.914534923116577
64,8.69569760513793
65,8.439760794385576
66,8.457123951196658
67,8.759055161872874
68,7.964101636126739
69,10.559479209878727
70,11.011445192828754
71,10.755517839475369
72,3.2423185346291556
73,7.246941005641385
74,7.314067337931937
75,7.271764433436126
76,7.1699957548367905
77,7.236655302994876
78,7.016400704224386
79,7.203581400856536
80,7.211120264075423
81,7.014815523635648
82,7.244809420892329
83,7.061207325073832
84,7.443722129229546
85,6.646202385024531
86,6.80871995171231
87,7.002585100717076
88,7.007030658551338
89,7.09081792830969
90,7.104698301154801
91,6.625682590661406
92,7.181245704470774
93,7.188622941718479
94,6.878614449559866
95,7.226744097716783
96,7.203505151909416
97,7.249653746623725
98,12.46369609626284
99,7.088167405896208
100,7.165783522259368
101,6.994067773732834
102,7.170912767235896
103,7.060249446218157
104,7.1101755081464315
105,7.15684650546697
106,7.142046745561186
107,7.065750255222189
108,7.002117140393028
109,6.962929964328028
110,6.673205429802729
111,6.802260163936284
112,6.966455632409043
113,7.047922655077303
114,6.7312648956517425
115,6.991634861367161
116,6.981996820785973
117,6.388639443425324
118,6.026092033677825
119,6.378372619418283
120,6.280466919381196
121,6.937470924034815
122,5.866516950823135
123,6.254142151637661
124,7.05618544200468
125,6.9463303856079195
126,6.533574706598404
127,6.278191907920577
128,7.063081689235008
129,6.952007848958974
130,6.324881187980614
131,6.616748187536968
132,6.762338325642644
133,6.9168199248427955
134,6.607190719565963
135,7.131035267571141
136,6.819321490484757
137,6.95082208011635
138,6.892774324878706
139,6.782895733897174
140,7.001453137593199
141,7.0077131488262205
142,6.837142580807147
143,7.082545518050142
144,6.991873330127077
145,7.028827023867296
146,6.878521323965925
147,6.830159027623888
148,7.029467523531073
149,7.009087199250451
150,6.92985824164746
151,6.835014554933263
152,6.8177990820805965
153,6.711856512058045
154,6.805032212935235
155,6.807249025757556
156,6.764169479731901
157,7.021067497707787
158,6.875017448803988
159,6.912532872139118
160,6.869245936786315
161,6.610465456603237
162,6.819771349504722
